,Frühling,Sommer,Winter,Herbst
2022-11-21,2,1,16,8
2022-11-22,7,5,20,6
2022-11-23,8,1,6,9
2022-11-24,10,11,41,2
2022-11-25,3,5,12,13
2022-11-26,3,3,10,7
2022-11-27,4,4,10,4
2022-11-28,7,0,8,5
2022-11-29,5,1,11,6
2022-11-30,5,5,6,4
2022-12-01,6,0,18,5
2022-12-02,9,4,16,6
2022-12-03,0,1,10,1
2022-12-04,1,3,16,4
2022-12-05,6,6,27,4
2022-12-06,5,5,11,5
2022-12-07,12,1,15,7
2022-12-08,6,1,14,3
2022-12-09,7,2,18,6
2022-12-10,4,4,12,1
2022-12-11,6,7,10,1
2022-12-12,8,10,28,1
2022-12-13,5,0,24,3
2022-12-14,4,8,19,3
2022-12-15,2,5,23,2
2022-12-16,5,2,17,4
2022-12-17,10,4,10,0
2022-12-18,2,4,21,7
2022-12-19,8,11,89,30
2022-12-20,5,3,27,10
2022-12-21,1,0,13,4
2022-12-22,0,3,10,6
2022-12-23,2,10,15,9
2022-12-24,3,2,8,3
2022-12-25,0,2,7,1
2022-12-26,2,3,17,3
2022-12-27,14,3,6,14
2022-12-28,6,6,7,19
2022-12-29,0,8,6,13
2022-12-30,4,11,8,23
2022-12-31,0,7,2,16
2023-01-01,5,8,3,27
2023-01-02,3,5,2,15
2023-01-03,9,3,8,7
2023-01-04,10,8,4,20
2023-01-05,12,5,4,3
2023-01-06,7,7,6,0
2023-01-07,8,6,4,8
2023-01-08,5,4,7,4
2023-01-09,6,2,4,1
2023-01-10,2,1,7,15
2023-01-11,7,4,5,7
2023-01-12,4,1,4,6
2023-01-13,11,9,10,9
2023-01-14,0,0,8,7
2023-01-15,2,2,9,9
2023-01-16,2,3,9,4
2023-01-17,5,7,9,2
2023-01-18,0,2,3,0
2023-01-19,9,2,14,2
2023-01-20,9,2,11,5
2023-01-21,1,4,21,4
2023-01-22,5,1,19,1
2023-01-23,11,9,19,5
2023-01-24,4,2,14,1
2023-01-25,8,6,7,1
2023-01-26,6,3,9,1
2023-01-27,3,3,17,7
2023-01-28,3,4,18,4
2023-01-29,4,3,5,1
2023-01-30,3,1,6,1
2023-01-31,5,4,15,3
2023-02-01,5,10,9,14
2023-02-02,6,1,7,3
2023-02-03,3,6,16,2
2023-02-04,2,2,4,2
2023-02-05,2,6,4,0
2023-02-06,11,5,10,2
2023-02-07,11,16,13,2
2023-02-08,5,1,2,2
2023-02-09,2,0,9,1
2023-02-10,4,5,6,1
2023-02-11,2,0,2,0
2023-02-12,1,1,1,0
2023-02-13,2,1,1,1
2023-02-14,5,0,3,1
2023-02-15,10,2,0,1
2023-02-16,5,1,4,2
2023-02-17,8,1,4,4
2023-02-18,8,2,2,1
2023-02-19,6,8,5,7
2023-02-20,13,10,11,2
2023-02-21,11,9,6,3
2023-02-22,19,5,8,1
2023-02-23,13,10,7,5
2023-02-24,7,3,15,3
2023-02-25,4,1,7,2
2023-02-26,12,7,7,0
2023-02-27,8,8,12,6
2023-02-28,9,4,9,3
2023-03-01,12,5,9,3
2023-03-02,15,5,11,5
2023-03-03,11,6,7,8
2023-03-04,10,2,8,5
2023-03-05,4,4,7,3
2023-03-06,6,4,6,3
2023-03-07,7,2,23,2
2023-03-08,2,3,10,5
2023-03-09,7,0,3,6
2023-03-10,7,1,7,1
2023-03-11,4,8,16,6
2023-03-12,7,7,8,3
2023-03-13,3,8,1,7
2023-03-14,6,1,13,14
2023-03-15,20,5,20,8
2023-03-16,9,6,3,9
2023-03-17,13,11,12,4
2023-03-18,3,8,4,4
2023-03-19,9,3,3,0
2023-03-20,7,8,1,1
2023-03-21,10,9,3,3
2023-03-22,8,6,1,6
2023-03-23,10,10,1,8
2023-03-24,19,3,2,3
2023-03-25,3,4,5,4
2023-03-26,4,4,11,6
2023-03-27,2,2,10,3
2023-03-28,7,1,4,5
2023-03-29,4,2,4,2
2023-03-30,11,6,4,14
2023-03-31,6,3,2,3
2023-04-01,7,1,3,9
2023-04-02,4,4,1,7
2023-04-03,4,2,5,6
2023-04-04,4,2,2,0
2023-04-05,16,5,6,9
2023-04-06,19,10,7,14
2023-04-07,19,5,0,10
2023-04-08,5,3,2,2
2023-04-09,3,2,2,6
2023-04-10,9,1,3,4
2023-04-11,2,3,1,4
2023-04-12,5,2,7,6
2023-04-13,14,0,10,7
2023-04-14,8,5,10,7
2023-04-15,8,1,6,7
2023-04-16,4,5,1,4
2023-04-17,11,2,13,7
2023-04-18,8,4,7,5
2023-04-19,8,3,2,4
2023-04-20,11,7,6,8
2023-04-21,6,16,1,4
2023-04-22,2,5,0,2
2023-04-23,8,14,0,1
2023-04-24,7,12,4,5
2023-04-25,5,12,4,7
2023-04-26,10,9,3,2
2023-04-27,12,11,0,6
2023-04-28,14,14,3,12
2023-04-29,7,6,0,4
2023-04-30,6,4,1,0
2023-05-01,8,4,0,0
2023-05-02,4,9,0,3
2023-05-03,21,15,0,8
2023-05-04,7,7,1,1
2023-05-05,3,1,1,3
2023-05-06,3,5,1,7
2023-05-07,6,9,0,14
2023-05-08,5,10,10,6
2023-05-09,11,12,3,9
2023-05-10,5,4,1,11
2023-05-11,8,4,0,6
2023-05-12,14,5,4,12
2023-05-13,4,6,1,5
2023-05-14,4,1,0,2
2023-05-15,10,3,2,4
2023-05-16,5,4,2,3
2023-05-17,14,7,4,7
2023-05-18,10,3,0,2
2023-05-19,19,18,2,5
2023-05-20,12,14,0,14
2023-05-21,10,3,0,11
2023-05-22,13,7,3,8
2023-05-23,11,1,0,7
2023-05-24,7,2,0,4
2023-05-25,8,3,2,1
2023-05-26,14,5,3,1
2023-05-27,8,4,0,3
2023-05-28,16,9,0,3
2023-05-29,7,9,0,2
2023-05-30,10,15,0,10
2023-05-31,6,7,2,1
2023-06-01,8,5,1,2
2023-06-02,24,10,1,1
2023-06-03,18,7,0,4
2023-06-04,8,2,0,1
2023-06-05,3,11,6,0
2023-06-06,13,6,2,1
2023-06-07,13,3,2,0
2023-06-08,7,5,3,4
2023-06-09,15,9,2,1
2023-06-10,9,7,1,4
2023-06-11,7,6,2,1
2023-06-12,6,10,0,1
2023-06-13,5,14,2,2
2023-06-14,9,15,0,2
2023-06-15,5,9,1,3
2023-06-16,6,14,0,4
2023-06-17,10,9,0,5
2023-06-18,12,11,0,1
2023-06-19,10,28,1,2
2023-06-20,7,19,2,1
2023-06-21,4,18,0,2
2023-06-22,8,25,3,3
2023-06-23,4,7,1,4
2023-06-24,11,6,0,0
2023-06-25,4,6,0,1
2023-06-26,4,22,0,1
2023-06-27,7,8,2,2
2023-06-28,9,11,1,2
2023-06-29,9,8,5,4
2023-06-30,4,13,3,0
2023-07-01,5,6,0,4
2023-07-02,3,3,1,4
2023-07-03,4,6,0,4
2023-07-04,6,10,2,4
2023-07-05,3,7,0,0
2023-07-06,15,7,0,1
2023-07-07,11,30,0,1
2023-07-08,3,12,1,0
2023-07-09,2,10,0,0
2023-07-10,3,21,6,0
2023-07-11,3,16,2,0
2023-07-12,9,19,1,4
2023-07-13,5,18,0,1
2023-07-14,7,19,1,2
2023-07-15,2,26,0,1
2023-07-16,4,33,0,3
2023-07-17,4,22,1,4
2023-07-18,5,18,0,2
2023-07-19,12,34,4,7
2023-07-20,0,12,1,5
2023-07-21,5,9,0,2
2023-07-22,0,11,0,3
2023-07-23,4,8,0,2
2023-07-24,2,4,0,3
2023-07-25,9,14,0,5
2023-07-26,2,5,4,5
2023-07-27,6,9,0,4
2023-07-28,0,6,1,3
2023-07-29,7,19,0,8
2023-07-30,9,10,1,6
2023-07-31,6,8,0,11
2023-08-01,14,4,0,12
2023-08-02,1,5,1,18
2023-08-03,2,3,0,7
2023-08-04,1,7,5,7
2023-08-05,2,3,1,10
2023-08-06,2,3,0,8
2023-08-07,2,8,0,7
2023-08-08,7,8,0,9
2023-08-09,10,7,2,24
2023-08-10,10,5,0,11
2023-08-11,7,10,0,3
2023-08-12,2,14,1,7
2023-08-13,2,3,0,5
2023-08-14,2,11,0,4
2023-08-15,6,18,0,12
2023-08-16,5,7,1,5
2023-08-17,3,10,0,20
2023-08-18,3,13,0,7
2023-08-19,3,15,0,2
2023-08-20,4,9,0,1
2023-08-21,5,13,0,4
2023-08-22,5,22,2,2
2023-08-23,4,16,1,3
2023-08-24,2,10,0,7
2023-08-25,2,9,2,5
2023-08-26,4,5,1,8
2023-08-27,2,1,1,2
2023-08-28,2,5,4,2
2023-08-29,2,2,0,6
2023-08-30,5,5,0,6
2023-08-31,2,3,1,0
2023-09-01,9,8,2,7
2023-09-02,6,0,0,1
2023-09-03,8,8,1,2
2023-09-04,9,14,2,10
2023-09-05,12,9,3,9
2023-09-06,29,18,2,3
2023-09-07,14,16,0,4
2023-09-08,10,19,1,3
2023-09-09,8,10,1,1
2023-09-10,3,8,0,3
2023-09-11,10,7,1,4
2023-09-12,5,12,0,12
2023-09-13,7,16,2,16
2023-09-14,10,16,3,8
2023-09-15,13,11,0,4
2023-09-16,11,5,0,1
2023-09-17,3,2,1,3
2023-09-18,12,10,5,4
2023-09-19,1,3,0,1
2023-09-20,5,2,0,6
2023-09-21,3,3,1,4
2023-09-22,4,3,2,8
2023-09-23,4,2,1,3
2023-09-24,10,7,0,4
2023-09-25,6,3,2,2
2023-09-26,3,2,1,2
2023-09-27,7,5,2,2
2023-09-28,4,6,0,4
2023-09-29,8,4,4,7
2023-09-30,8,15,1,3
2023-10-01,3,4,0,2
2023-10-02,9,3,1,5
2023-10-03,3,3,1,1
2023-10-04,8,8,0,8
2023-10-05,4,8,1,2
2023-10-06,4,2,0,3
2023-10-07,9,6,1,12
2023-10-08,3,0,0,5
2023-10-09,5,1,2,4
2023-10-10,7,2,2,0
2023-10-11,2,9,3,3
2023-10-12,4,9,3,7
2023-10-13,7,9,2,8
2023-10-14,1,3,2,2
2023-10-15,7,4,3,2
2023-10-16,7,11,3,11
2023-10-17,6,3,3,4
2023-10-18,3,2,0,5
2023-10-19,3,2,3,8
2023-10-20,7,2,1,5
2023-10-21,1,1,0,3
2023-10-22,9,5,0,10
2023-10-23,11,0,1,10
2023-10-24,6,1,0,5
2023-10-25,8,5,1,12
2023-10-26,6,1,2,16
2023-10-27,14,5,2,15
2023-10-28,12,3,1,8
2023-10-29,4,1,0,4
2023-10-30,3,3,0,7
2023-10-31,8,5,2,3
2023-11-01,14,0,2,8
2023-11-02,8,4,2,11
2023-11-03,3,0,2,6
2023-11-04,0,1,1,5
2023-11-05,1,0,0,5
2023-11-06,2,0,1,2
2023-11-07,6,1,1,7
2023-11-08,4,0,3,2
2023-11-09,4,1,1,0
2023-11-10,7,3,1,10
2023-11-11,4,1,7,3
2023-11-12,7,1,2,8
2023-11-13,10,0,2,6
2023-11-14,4,0,2,5
2023-11-15,6,12,2,8
2023-11-16,2,2,2,3
2023-11-17,4,0,3,5
2023-11-18,8,14,4,11
2023-11-19,2,5,3,3
2023-11-20,8,4,7,5
2023-11-21,2,0,4,6
2023-11-22,2,1,7,4
2023-11-23,2,3,5,4
2023-11-24,4,5,14,9
2023-11-25,0,0,14,3
2023-11-26,2,1,14,2
2023-11-27,3,0,10,1
2023-11-28,2,2,25,2
2023-11-29,4,1,8,1
2023-11-30,4,1,21,8
2023-12-01,3,3,11,2
2023-12-02,0,4,19,0
2023-12-03,0,2,11,2
2023-12-04,3,1,13,10
2023-12-05,4,10,36,9
2023-12-06,6,2,9,1
2023-12-07,5,1,10,5
2023-12-08,4,3,22,8
2023-12-09,0,2,2,7
2023-12-10,0,2,3,6
2023-12-11,4,0,2,3
2023-12-12,1,1,1,5
2023-12-13,3,14,11,11
2023-12-14,3,4,11,9
2023-12-15,4,2,3,3
2023-12-16,3,0,0,0
2023-12-17,0,0,0,3
2023-12-18,8,3,8,7
2023-12-19,4,0,5,9
2023-12-20,9,0,4,7
2023-12-21,2,0,7,5
2023-12-22,1,2,6,14
2023-12-23,0,3,5,15
2023-12-24,3,7,4,7
2023-12-25,1,1,2,8
2023-12-26,2,3,1,19
2023-12-27,8,2,3,18
2023-12-28,4,0,4,15
2023-12-29,2,3,2,10
2023-12-30,2,1,3,25
2023-12-31,2,2,3,13
2024-01-01,0,0,0,26
2024-01-02,4,2,1,17
2024-01-03,6,0,3,13
2024-01-04,7,3,5,6
2024-01-05,4,0,12,8
2024-01-06,2,2,11,5
2024-01-07,4,3,5,0
2024-01-08,4,1,2,0
2024-01-09,7,4,2,1
2024-01-10,2,1,3,1
2024-01-11,1,4,8,1
2024-01-12,5,5,20,6
2024-01-13,2,0,4,1
2024-01-14,3,1,5,0
2024-01-15,5,6,14,3
2024-01-16,5,12,35,2
2024-01-17,2,4,38,4
2024-01-18,4,3,30,3
2024-01-19,2,4,6,1
2024-01-20,1,3,10,5
2024-01-21,1,3,4,1
2024-01-22,3,12,10,5
2024-01-23,2,6,6,5
2024-01-24,0,2,1,9
2024-01-25,4,6,1,5
2024-01-26,4,3,0,0
2024-01-27,6,6,0,1
2024-01-28,5,4,3,2
2024-01-29,4,4,0,2
2024-01-30,9,7,9,3
2024-01-31,1,1,1,1
2024-02-01,4,3,0,6
2024-02-02,1,5,5,6
2024-02-03,3,3,3,4
2024-02-04,1,2,1,2
2024-02-05,7,2,1,9
2024-02-06,7,3,4,9
2024-02-07,5,3,3,5
2024-02-08,6,1,3,3
2024-02-09,7,4,3,10
2024-02-10,3,2,1,2
2024-02-11,0,1,1,6
2024-02-12,5,7,3,9
2024-02-13,4,10,8,8
2024-02-14,2,4,1,8
2024-02-15,5,6,0,5
2024-02-16,6,8,1,5
2024-02-17,1,3,1,2
2024-02-18,1,1,3,3
2024-02-19,1,3,3,6
2024-02-20,2,8,4,6
2024-02-21,4,4,4,3
2024-02-22,3,3,2,3
2024-02-23,6,6,2,2
2024-02-24,10,5,2,4
2024-02-25,4,2,1,4
2024-02-26,2,3,2,6
2024-02-27,5,9,1,4
2024-02-28,5,6,2,4
2024-02-29,10,6,1,5
2024-03-01,13,7,0,5
2024-03-02,4,1,4,2
2024-03-03,3,1,5,2
2024-03-04,6,11,5,12
2024-03-05,7,2,7,6
2024-03-06,5,4,3,2
2024-03-07,3,3,1,1
2024-03-08,6,1,1,1
2024-03-09,6,3,1,3
2024-03-10,3,4,1,4
2024-03-11,1,4,0,3
2024-03-12,4,7,1,3
2024-03-13,4,3,0,4
2024-03-14,6,3,4,4
2024-03-15,5,5,1,8
2024-03-16,1,2,0,1
2024-03-17,4,2,0,3
2024-03-18,11,11,4,9
2024-03-19,5,6,2,5
2024-03-20,3,1,0,0
2024-03-21,7,0,3,4
2024-03-22,5,5,6,10
2024-03-23,1,1,8,10
2024-03-24,14,4,11,5
2024-03-25,5,2,7,4
2024-03-26,7,2,4,7
2024-03-27,9,2,5,7
2024-03-28,5,2,3,4
2024-03-29,8,7,0,5
2024-03-30,4,0,0,3
2024-03-31,2,0,0,2
2024-04-01,3,1,2,5
2024-04-02,0,4,0,2
2024-04-03,11,4,1,6
2024-04-04,11,8,1,5
2024-04-05,9,6,1,4
2024-04-06,13,11,0,4
2024-04-07,9,3,1,4
2024-04-08,19,7,0,3
2024-04-09,8,7,3,2
2024-04-10,5,4,0,4
2024-04-11,3,2,2,1
2024-04-12,12,7,2,0
2024-04-13,4,1,0,0
2024-04-14,3,0,1,1
2024-04-15,6,9,2,4
2024-04-16,5,4,3,7
2024-04-17,6,6,0,9
2024-04-18,5,5,4,11
2024-04-19,1,4,3,8
2024-04-20,6,1,4,2
2024-04-21,6,1,5,2
2024-04-22,4,24,1,5
2024-04-23,5,6,1,2
2024-04-24,2,7,2,1
2024-04-25,13,5,2,9
2024-04-26,4,1,1,0
2024-04-27,0,5,0,1
2024-04-28,6,3,1,0
2024-04-29,10,9,3,3
2024-04-30,11,4,1,2
2024-05-01,10,17,0,2
2024-05-02,12,11,2,1
2024-05-03,4,2,0,3
2024-05-04,12,3,0,10
2024-05-05,1,0,0,2
2024-05-06,8,5,0,5
2024-05-07,7,6,0,2
2024-05-08,12,5,0,1
2024-05-09,11,3,0,0
2024-05-10,13,3,0,1
2024-05-11,5,3,0,0
2024-05-12,1,0,0,0
2024-05-13,9,1,0,5
2024-05-14,5,1,0,0
2024-05-15,2,2,0,0
1970-01-01,0,0,0,0
