domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
science.orf.at,-0.003525641025641028,0.1779741170080254,0.13333333333333333,0.1843720574153132,13.0
t3n.de,0.12337301587301586,0.2090416982203794,0.011111111111111112,0.03849001794597504,12.0
noe.orf.at,0.16924603174603173,0.24970495542395438,0.06190476190476191,0.09586374581293146,12.0
vorarlberg.orf.at,0.07018518518518517,0.13298593913448983,0.053240740740740734,0.08899798650080325,12.0
tirol.orf.at,0.00865079365079364,0.21497705537234177,0.13333333333333333,0.1509230856356236,12.0
www.freitag.de,0.03652281746031746,0.30949391865571024,0.06443452380952382,0.09598399902564414,12.0
stadt-bremerhaven.de,0.09659722222222222,0.383158797277286,0.05486111111111111,0.08260731720143717,12.0
salzburg.orf.at,0.03274999999999999,0.14400255591867497,0.191,0.1430967038986806,10.0
de.rt.com,-0.0425,0.24968158735022572,0.02,0.06324555320336758,10.0
www.ibiza-heute.de,-0.02275,0.28689322711669596,0.125,0.18108895570007358,10.0
www.pcgames.de,0.09030555555555556,0.1618024995737481,0.11000000000000001,0.2096734674749358,10.0
kaernten.orf.at,0.005324074074074074,0.2291314156389648,0.08842592592592592,0.1365144251410998,9.0
www.ndr.de,0.013811728395061725,0.3058072756641156,0.1882716049382716,0.29586195016056405,9.0
www.jungewelt.de,0.05555555555555558,0.3581394824490716,0.08333333333333333,0.1767766952966369,9.0
www.der-postillon.com,0.17885416666666668,0.29178192875572795,0.109375,0.12672911211376356,8.0
www.fitforfun.de,0.023273809523809523,0.2665055620613825,0.06488095238095237,0.10702374331265498,8.0
winfuture.de,0.09902777777777777,0.25327932973547646,0.1240079365079365,0.18900306673190254,8.0
wien.orf.at,0.09208333333333332,0.12715366906053302,0.08571428571428572,0.1324802642213672,8.0
ooe.orf.at,0.03639880952380953,0.13383539086531845,0.025,0.07071067811865477,8.0
hallespektrum.de,0.18087301587301585,0.23661316060586923,0.07142857142857142,0.18898223650461363,7.0
www.perlentaucher.de,0.22977891156462585,0.13375518633093958,0.03571428571428571,0.09449111825230681,7.0
www.appgefahren.de,0.11517857142857142,0.35747876068712614,0.08492063492063494,0.1428703697580422,6.0
futurezone.at,0.09000000000000001,0.22045407685048604,0.05555555555555555,0.13608276348795434,6.0
de.euronews.com,-0.05555555555555555,0.13608276348795434,0.05555555555555555,0.13608276348795434,6.0
burgenland.orf.at,0.09777777777777776,0.14670706514330847,0.09444444444444444,0.10417222207408199,6.0
www.googlewatchblog.de,0.18157407407407408,0.17839836705041656,0.24814814814814812,0.29030989544096925,6.0
fm4.orf.at,-0.06899999999999998,0.33023476497788656,0.02,0.0447213595499958,5.0
www.manager-magazin.de,-0.0935,0.22475943930245856,0.08299999999999999,0.12774975538137048,5.0
www.dealdoktor.de,0.21133333333333332,0.33137424294728896,0.015,0.03354101966249685,5.0
oe3.orf.at,0.19876190476190475,0.2685240586391231,0.12,0.16599866130651644,5.0
sz-magazin.sueddeutsche.de,0.3092857142857143,0.17597396607081933,0.03,0.0670820393249937,5.0
sport.orf.at,0.03666666666666667,0.1120515754264774,0.0,0.0,5.0
www.t-online.de,0.06458333333333333,0.2301745513171994,0.0,0.0,4.0
www.cio.de,0.042708333333333334,0.19867544606812984,0.23958333333333331,0.12898733070143548,4.0
oesterreich.orf.at,0.12937499999999996,0.16971023098210664,0.03125,0.0625,4.0
www.businessinsider.de,0.04833333333333334,0.3447543408799308,0.0,0.0,4.0
versicherungswirtschaft-heute.de,0.0888392857142857,0.10644989199995798,0.0625,0.125,4.0
www.computerbase.de,-0.10666666666666669,0.3136877428271625,0.0,0.0,4.0
www.kino.de,0.1400793650793651,0.43989719561048723,0.12103174603174603,0.1190972118925311,3.0
www.kraftfuttermischwerk.de,0.19166666666666665,0.28975564417856176,0.05555555555555555,0.09622504486493763,3.0
praxistipps.chip.de,0.3314814814814815,0.28740716876660577,0.11296296296296295,0.07664519291324029,3.0
www.horizont.net,0.37777777777777777,0.3421067626297923,0.0,0.0,3.0
netzpolitik.org,-0.05555555555555555,0.09622504486493763,0.0,0.0,3.0
11freunde.de,0.18333333333333332,0.25658007197234417,0.05555555555555555,0.09622504486493763,3.0
scilogs.spektrum.de,-0.07777777777777777,0.259867012522811,0.037037037037037035,0.06415002990995841,3.0
www.rbb24.de,-0.19999999999999998,0.34641016151377546,0.06666666666666667,0.11547005383792516,3.0
www.gameswelt.de,0.3611111111111111,0.358292956381496,0.125,0.1102396379610246,3.0
web.de,0.15166666666666664,0.490416489662953,0.11666666666666665,0.12583057392117916,3.0
www.prnewswire.com,0.2722222222222222,0.37503086292750376,0.0,0.0,3.0
www.maclife.de,0.328125,0.2165514517383802,0.0,0.0,2.0
www.swr.de,0.0,0.3959797974644666,0.1,0.14142135623730953,2.0
www.merkur.de,-0.5625,0.19445436482630057,0.0,0.0,2.0
www.laut.de,0.0,0.0,0.0,0.0,2.0
www.titanic-magazin.de,0.05499999999999999,0.03535533905932736,0.0,0.0,2.0
www.motogp.com,0.0,0.0,0.25,0.3535533905932738,2.0
www.nordbayern.de,-0.24583333333333332,0.34766083408338583,0.16666666666666666,0.11785113019775792,2.0
www.notesofberlin.com,0.0,0.0,0.0,0.0,2.0
'Energiekrise',0.0,0.0,0.0,0.0,2.0
www.iphone-ticker.de,0.06333333333333332,0.5703994701571483,0.0,0.0,2.0
www.giga.de,0.04583333333333332,0.2651650429449553,0.20833333333333331,0.17677669529663687,2.0
weather.com,-0.025000000000000005,0.03535533905932738,0.0,0.0,2.0
www.br.de,0.11666666666666665,0.0,0.16666666666666666,0.0,2.0
www.computerwoche.de,0.36875,0.45078057300642405,0.0625,0.08838834764831845,2.0
www.designmadeingermany.de,-0.13999999999999999,0.1979898987322333,0.0,0.0,2.0
www.deutsche-startups.de,0.049999999999999996,0.07071067811865475,0.0,0.0,2.0
www1.wdr.de,-0.04166666666666666,0.4124789556921527,0.0,0.0,2.0
www.ifun.de,0.0,0.0,0.2,0.28284271247461906,2.0
frische-brise.blogspot.com,0.0,1.0,0.0,1.0,1.0
www.aachener-zeitung.de,0.0,1.0,0.0,1.0,1.0
www.inside-digital.de,0.0,1.0,0.0,1.0,1.0
snipz.de,0.0,1.0,0.0,1.0,1.0
rivva.de,0.0,1.0,0.0,1.0,1.0
ibiza-heute.de,0.0,1.0,0.0,1.0,1.0
gentleman-blog.de,0.0,1.0,0.0,1.0,1.0
www.teltarif.de,0.0,1.0,0.0,1.0,1.0
www.transfermarkt.de,0.0,1.0,0.0,1.0,1.0
www.apfelpage.de,0.0,1.0,0.0,1.0,1.0
efahrer.chip.de,0.0,1.0,0.0,1.0,1.0
detektor.fm,0.0,1.0,0.0,1.0,1.0
www.whudat.de,0.0,1.0,0.0,1.0,1.0
de.nachrichten.yahoo.com,0.0,1.0,0.0,1.0,1.0
bnn.de,0.0,1.0,0.0,1.0,1.0
www.zdnet.de,0.0,1.0,0.0,1.0,1.0
blogs.sap.com,0.0,1.0,0.0,1.0,1.0
www.abendblatt.de,0.0,1.0,0.0,1.0,1.0
www.lvz.de,0.0,1.0,0.0,1.0,1.0
www.fuldaerzeitung.de,0.0,1.0,0.0,1.0,1.0
www.handelskraft.de,0.0,1.0,0.0,1.0,1.0
www.finanzen.net,0.0,1.0,0.0,1.0,1.0
www.dwdl.de,0.0,1.0,0.0,1.0,1.0
'Jahreswechsel',0.0,1.0,0.0,1.0,1.0
www.motorsport-total.com,0.0,1.0,0.0,1.0,1.0
www.mpg.de,0.0,1.0,0.0,1.0,1.0
www.discountfan.de,0.0,1.0,0.0,1.0,1.0
www.linux-magazin.de,0.0,1.0,0.0,1.0,1.0
www.kreiszeitung.de,0.0,1.0,0.0,1.0,1.0
www.scinexx.de,0.0,1.0,0.0,1.0,1.0
www.computerbild.de,0.0,1.0,0.0,1.0,1.0
www.chip.de,0.0,1.0,0.0,1.0,1.0
www.chefkoch.de,0.0,1.0,0.0,1.0,1.0
www.photoscala.de,0.0,1.0,0.0,1.0,1.0
www.kino-zeit.de,0.0,1.0,0.0,1.0,1.0
www.bvb.de,0.0,1.0,0.0,1.0,1.0
www.saechsische.de,0.0,1.0,0.0,1.0,1.0
www.bz-berlin.de,0.0,1.0,0.0,1.0,1.0
